workload_id,actual_best_policy,pred_best_policy,true_best_rank_in_pred,topk,topk_hit,top1_hit,actual_best_score_mean,actual_score_mean_of_pred_choice,actual_regret,pred_topk_policies
W2002,EC-2-2,EC-2-2,1,3,1,1,539.3872807137086,539.3872807137086,0.0,"EC-2-2,EC-7-3,EC-3-2"
W2013,EC-4-2,EC-2-2,2,3,1,0,173.46309312540598,221.09068829178113,47.62759516637516,"EC-2-2,EC-4-2,EC-3-2"
W2019,EC-4-3,EC-2-2,4,3,0,0,360.59915150281086,405.14075722458074,44.54160572176988,"EC-2-2,EC-3-2,EC-8-3"
W2025,EC-2-2,EC-2-2,1,3,1,1,279.9544976667979,279.9544976667979,0.0,"EC-2-2,EC-3-2,EC-4-3"
W2026,EC-2-2,EC-2-2,1,3,1,1,255.69909937604507,255.69909937604507,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2030,EC-2-2,EC-2-2,1,3,1,1,312.64007025038154,312.64007025038154,0.0,"EC-2-2,EC-3-2,EC-5-3"
W2031,EC-3-2,EC-2-2,2,3,1,0,503.69223250243067,1091.7534396259612,588.0612071235305,"EC-2-2,EC-3-2,EC-4-2"
W2032,EC-2-2,EC-2-2,1,3,1,1,360.7857832084089,360.7857832084089,0.0,"EC-2-2,EC-3-2,EC-4-2"
W2046,EC-4-3,EC-2-2,7,3,0,0,443.90591422193717,691.635961555423,247.73004733348586,"EC-2-2,EC-3-2,EC-4-2"
W2067,EC-2-2,EC-2-2,1,3,1,1,371.5333348879868,371.5333348879868,0.0,"EC-2-2,EC-4-2,EC-3-2"
W2070,EC-5-3,EC-5-3,1,3,1,1,681.6614196676609,681.6614196676609,0.0,"EC-5-3,EC-3-2,EC-2-2"
W2084,EC-4-2,EC-4-2,1,3,1,1,280.95910929960155,280.95910929960155,0.0,"EC-4-2,EC-2-2,EC-3-2"
W2088,EC-5-3,EC-5-3,1,3,1,1,596.0613620032746,596.0613620032746,0.0,"EC-5-3,EC-4-2,EC-2-2"
