feature,importance
time_since_last_failure_s,22.253337669164885
concurrency,16.572410734110836
num_objects,11.122987763624288
data_disks_used_pct_before,9.358030565289349
disk_io_time_ms_delta_max,7.299273667792766
runnable_procs,3.466505381727231
mem_available_kb_before,2.822119589827374
io_intensity,2.432632782585858
failed_nodes,2.2442622574178457
disk_sectors_rw_delta_max,2.1857218505433287
failure_state,2.169767147428924
failed_disks,1.949911829620022
disk_writes_delta_max,1.8880677993890143
disk_weighted_io_time_delta_max,1.8276031790849283
load1_before,1.7541939429104523
dirty_kb,1.7016618503146232
disk_reads_delta_max,1.4660602739011293
per_thread_mb,1.2018848588426847
file_size_mb,0.9669583382594292
total_mb,0.9270959214481931
payload_bytes,0.8795262709873918
policy_name,0.825077970580837
read_mb,0.7141067178812394
read_ratio,0.6532595628698413
write_mb,0.6050597663361685
writeback_kb,0.4063090769171259
swap_activity_delta,0.30617323114424905
cpu_steal_pct_before,0.0
failure_disk,0.0
