workload_id,policy_name,file_size_mb,num_objects,concurrency,read_ratio,failure_state,total_mb,read_mb,write_mb,per_thread_mb,io_intensity,payload_bytes,data_disks_used_pct_before,mem_available_kb_before,load1_before,cpu_steal_pct_before,runnable_procs,dirty_kb,writeback_kb,swap_activity_delta,disk_reads_delta_max,disk_writes_delta_max,disk_io_time_ms_delta_max,disk_weighted_io_time_delta_max,disk_sectors_rw_delta_max,failed_disks,failed_nodes,failure_disk,time_since_last_failure_s,avg_upload_ms,p95_upload_ms,avg_download_ms,p95_download_ms,reconstruction_time_ms
W0002,EC-6-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,62.08853521486147,1955408,15.91,0.0,2,11600,0,0.0,45.0,358.0,444.0,1568.0,12370.0,1,1,d1,1546.1003692150116,273.88790599979984,273.88790599979984,20.886414999040426,20.886414999040426,21.400868999990053
W0002,EC-7-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,64.37149830544699,1899132,15.58,0.0,1,17136,0,0.0,76.0,455.0,376.0,1364.0,13782.0,1,1,d1,1443.0047891139984,45.86097100036568,45.86097100036568,19.80443600041326,19.80443600041326,20.379318000777857
W0002,EC-8-3,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,66.69544717007467,1775720,16.38,0.0,2,10044,0,0.0,114.0,882.0,856.0,3640.0,24267.0,1,1,d1,1373.1528856754303,61.87974600106827,61.87974600106827,41.2312189982913,41.2312189982913,41.9275150015892
W0002,EC-8-4,0.015625,1,1,0.2,1,0.015625,0.003125,0.0125,0.015625,0.015625,16384,69.14418666908018,1719280,21.37,0.0,1,8544,0,0.0,187.0,246.0,1492.0,3072.0,9452.0,1,1,d1,1634.443835735321,279.52359200207866,279.52359200207866,31.246911999915028,31.246911999915028,31.934516999172047
W0003,EC-10-4,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,71.46714595400934,1496976,25.11,0.0,3,9036,0,0.0,58.0,285.0,344.0,536.0,4940.0,1,1,d1,0.4809989929199219,61.632938999537146,61.632938999537146,27.39814199958346,27.39814199958346,28.116421999584414
W0003,EC-2-2,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,49.668543960237976,2370860,9.89,0.0,4,10632,0,0.0,17.0,44.0,684.0,604.0,2540.0,1,1,d1,0.5274991989135742,31.34535600020172,31.34535600020172,11.114156000076036,11.114156000076036,11.642272000244702
W0003,EC-3-2,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,52.27875669533813,2385520,9.97,0.0,1,9068,0,0.0,8.0,15.0,224.0,188.0,590.0,1,1,d1,0.4308829307556152,159.39686100045947,159.39686100045947,12.674392000008083,12.674392000008083,13.170107000405553
W0003,EC-4-2,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,54.64066262038524,2366752,8.12,0.0,2,11444,0,0.0,13.0,16.0,312.0,492.0,781.0,1,1,d1,0.3080315589904785,49.33102399991185,49.33102399991185,12.633704999643667,12.633704999643667,13.863757999388326
W0003,EC-4-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,57.23382895919114,2226840,13.59,0.0,3,6608,0,0.0,15.0,33.0,280.0,236.0,779.0,1,1,d1,0.3534502983093261,43.29639100069471,43.29639100069471,15.169672000411085,15.169672000411085,16.104737000205205
W0003,EC-5-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,59.69843308369391,2014196,12.23,0.0,7,7416,0,0.0,12.0,48.0,144.0,124.0,775.0,1,1,d1,0.3199071884155273,48.91853399931279,48.91853399931279,14.262680000683758,14.262680000683758,14.804616001129034
W0003,EC-6-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,62.08855974989532,1956592,15.91,0.0,3,8308,0,0.0,13.0,13.0,412.0,540.0,334.0,1,1,d1,0.3268554210662842,44.73729599885701,44.73729599885701,15.285999999832711,15.285999999832711,15.749775000585942
W0003,EC-7-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,64.37152692965314,1899192,15.58,0.0,1,10240,0,0.0,26.0,7.0,72.0,0.0,328.0,1,1,d1,0.3115320205688476,43.11036699982651,43.11036699982651,17.752518000634154,17.752518000634154,18.19407000039064
W0003,EC-8-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,66.69577975608905,1781012,16.38,0.0,3,10284,0,0.0,79.0,475.0,456.0,500.0,11253.0,1,1,d1,0.8375349044799805,108.59968600198044,108.59968600198044,244.7825219969673,244.7825219969673,245.858878002764
W0003,EC-8-4,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,69.14421665634379,1719392,21.37,0.0,2,8628,0,0.0,79.0,811.0,352.0,596.0,19498.0,1,1,d1,0.3857014179229736,72.5967650032544,72.5967650032544,20.976973999495385,20.976973999495385,21.47579499796848
W0004,EC-10-4,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,70.11198334670948,1690492,14.11,0.0,1,12360,0,0.0,42.0,29.0,280.0,184.0,1124.0,0,0,d1,2.0249414443969727,112.91853999864544,112.91853999864544,185.50736399993184,185.50736399993184,
W0004,EC-2-2,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,47.96353903142228,2506536,4.57,0.0,2,3160,0,0.0,10.0,10.0,48.0,20.0,644.0,0,0,d1,,46.79473400028655,46.79473400028655,15.3198230000271,15.3198230000271,
W0004,EC-3-2,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,50.76602192232536,2455972,6.84,0.0,2,5168,0,0.0,41.0,700.0,272.0,2772.0,17141.0,0,0,d1,0.8262019157409668,30.53363199978776,30.53363199978776,12.732003999644803,12.732003999644803,
W0004,EC-4-2,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,53.21722855528997,2444876,8.22,0.0,2,7628,0,0.0,12.0,394.0,220.0,344.0,8939.0,0,0,d1,0.8715767860412598,32.88256700034253,32.88256700034253,13.205926999944497,13.205926999944497,
W0004,EC-4-3,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,55.5509450895038,2520316,8.75,0.0,1,5640,0,0.0,12.0,14.0,212.0,164.0,403.0,0,0,d1,1.62522292137146,140.48660799926438,140.48660799926438,17.735212999468786,17.735212999468786,
W0004,EC-5-3,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,58.22586352414682,1980432,9.42,0.0,5,9532,0,0.0,29.0,1182.0,632.0,524.0,28875.0,0,0,d1,2.253983497619629,50.57176099944627,50.57176099944627,14.628093000283116,14.628093000283116,
W0004,EC-6-3,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,60.63050675204132,2111940,15.89,0.0,9,9616,0,2.0,18.0,28.0,164.0,344.0,531.0,0,0,d1,1.908397436141968,175.55053899923223,175.55053899923223,20.422424999196664,20.422424999196664,
W0004,EC-7-3,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,62.97182505757555,2085320,11.16,0.0,1,10688,0,0.0,20.0,15.0,308.0,292.0,296.0,0,0,d1,1.503744125366211,53.62036200131115,53.62036200131115,18.55441900079313,18.55441900079313,
W0004,EC-8-3,0.015625,1,1,0.6,0,0.015625,0.009375,0.00625,0.015625,0.015625,16384,65.24952674645824,1944708,10.01,0.0,1,5832,0,0.0,32.0,83.0,244.0,108.0,2096.0,0,0,d1,2.027703046798706,358.6424309978611,358.6424309978611,31.822291999560548,31.822291999560548,
