workload_id,policy_name,file_size_mb,num_objects,concurrency,read_ratio,failure_state,total_mb,read_mb,write_mb,per_thread_mb,io_intensity,payload_bytes,data_disks_used_pct_before,mem_available_kb_before,load1_before,cpu_steal_pct_before,runnable_procs,dirty_kb,writeback_kb,swap_activity_delta,disk_reads_delta_max,disk_writes_delta_max,disk_io_time_ms_delta_max,disk_weighted_io_time_delta_max,disk_sectors_rw_delta_max,failed_disks,failed_nodes,failure_disk,time_since_last_failure_s,avg_upload_ms,p95_upload_ms,avg_download_ms,p95_download_ms,reconstruction_time_ms
W0003,EC-5-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,59.69843308369391,2014196,12.23,0.0,7,7416,0,0.0,12.0,48.0,144.0,124.0,775.0,1,1,d1,0.3199071884155273,48.91853399931279,48.91853399931279,14.262680000683758,14.262680000683758,14.804616001129034
W0003,EC-6-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,62.08855974989532,1956592,15.91,0.0,3,8308,0,0.0,13.0,13.0,412.0,540.0,334.0,1,1,d1,0.3268554210662842,44.73729599885701,44.73729599885701,15.285999999832711,15.285999999832711,15.749775000585942
W0003,EC-7-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,64.37152692965314,1899192,15.58,0.0,1,10240,0,0.0,26.0,7.0,72.0,0.0,328.0,1,1,d1,0.3115320205688476,43.11036699982651,43.11036699982651,17.752518000634154,17.752518000634154,18.19407000039064
W0003,EC-8-3,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,66.69577975608905,1781012,16.38,0.0,3,10284,0,0.0,79.0,475.0,456.0,500.0,11253.0,1,1,d1,0.8375349044799805,108.59968600198044,108.59968600198044,244.7825219969673,244.7825219969673,245.858878002764
W0003,EC-8-4,0.015625,1,1,0.4,1,0.015625,0.00625,0.009375,0.015625,0.015625,16384,69.14421665634379,1719392,21.37,0.0,2,8628,0,0.0,79.0,811.0,352.0,596.0,19498.0,1,1,d1,0.3857014179229736,72.5967650032544,72.5967650032544,20.976973999495385,20.976973999495385,21.47579499796848
W0005,EC-10-4,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,71.46720592853653,1495912,25.11,0.0,1,9048,0,0.0,32.0,19.0,220.0,184.0,542.0,1,1,d1,0.4819190502166748,170.16984400106594,170.16984400106594,37.13111000251956,37.13111000251956,37.99129500112031
W0005,EC-2-2,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,49.66853305577849,2370632,9.89,0.0,3,10700,0,0.0,9.0,41.0,140.0,228.0,655.0,1,1,d1,0.3049130439758301,26.521385999785707,26.521385999785707,12.182172999928298,12.182172999928298,12.58296700007122
W0005,EC-3-2,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,52.2787744150848,2384176,9.97,0.0,1,9136,0,0.0,8.0,27.0,316.0,608.0,648.0,1,1,d1,0.3996062278747558,128.8710680000804,128.8710680000804,17.816190999838,17.816190999838,18.571722000160666
W0005,EC-4-2,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,54.641037461180126,2368920,7.87,0.0,1,11776,0,0.0,23.0,31.0,356.0,272.0,2164.0,1,1,d1,0.4730734825134277,221.2666759996864,221.2666759996864,14.03257099991606,14.03257099991606,14.50344499971834
W0005,EC-4-3,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,57.23385349422499,2226868,13.22,0.0,1,6988,0,0.0,12.0,18.0,84.0,184.0,462.0,1,1,d1,0.5807182788848877,139.2366050004057,139.2366050004057,174.14359099893773,174.14359099893773,175.02501800117898
W0005,EC-5-3,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,59.69847124930211,2016536,11.49,0.0,6,7480,0,0.0,21.0,31.0,76.0,4.0,730.0,1,1,d1,0.3529961109161377,47.10683099983726,47.10683099983726,19.53002900154388,19.53002900154388,20.06287699987297
W0005,EC-6-3,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,62.08864425945635,1955032,15.91,0.0,2,8544,0,0.0,16.0,22.0,92.0,56.0,485.0,1,1,d1,0.3316793441772461,44.03982400071982,44.03982400071982,18.89362299880304,18.89362299880304,19.39138499983528
W0005,EC-7-3,0.015625,1,1,0.8,1,0.015625,0.0125,0.0031249999999999,0.015625,0.015625,16384,64.37159099335265,1897748,15.58,0.0,1,10408,0,0.0,25.0,7.0,84.0,0.0,328.0,1,1,d1,0.3365180492401123,50.561096999445,50.561096999445,22.93258499958029,22.93258499958029,23.41872400029388
